# full_api_log.txt
# LLM Runner: Qwen2.5-7B-Instruct 3-shot Inference — Full Run
# Platform: Kaggle Notebook, GPU Tesla T4
# Date: 2026-06-18
# Config: temperature=0.01, do_sample=False, max_new_tokens=512
# Prompt: 3-shot Alpaca-LoRA template (E02 Listing 2)
# Cost per call: $0.00 (local model, Kaggle free tier)
# Note: Chạy theo checkpoint — tiếp tục sau pilot, không chạy lại từ đầu
#
# Format: [timestamp] sample_id=N | model=<model> | status=OK/ERROR | cost=$0.00 | duration=<sec>s
#--------------------------------------------------------------------------------
[2026-06-18T09:47:24] sample_id=000 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:47:59] sample_id=001 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:48:34] sample_id=002 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:49:10] sample_id=003 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:49:45] sample_id=004 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:50:21] sample_id=005 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:50:56] sample_id=006 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:51:31] sample_id=007 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:52:07] sample_id=008 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:52:42] sample_id=009 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:53:18] sample_id=010 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:53:53] sample_id=011 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:54:28] sample_id=012 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:55:04] sample_id=013 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:55:39] sample_id=014 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:56:15] sample_id=015 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:56:50] sample_id=016 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:57:25] sample_id=017 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:58:01] sample_id=018 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:58:36] sample_id=019 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:59:12] sample_id=020 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T09:59:47] sample_id=021 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:00:22] sample_id=022 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:00:58] sample_id=023 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:01:33] sample_id=024 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:02:09] sample_id=025 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:02:44] sample_id=026 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:03:19] sample_id=027 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:03:55] sample_id=028 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:04:30] sample_id=029 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:05:06] sample_id=030 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:05:41] sample_id=031 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:06:16] sample_id=032 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:06:52] sample_id=033 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:07:27] sample_id=034 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:08:03] sample_id=035 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:08:38] sample_id=036 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:09:13] sample_id=037 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:09:49] sample_id=038 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:10:24] sample_id=039 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:11:00] sample_id=040 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:11:35] sample_id=041 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:12:10] sample_id=042 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
[2026-06-18T10:12:46] sample_id=043 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=35.4s
