# full_api_log_ablation_v2.txt — ABLATION STUDY
# Thay đổi: thêm length constraint vào system prompt
# Start: 2026-07-05T15:37:31.795119
# seed=42, N_test=397, model=unsloth/Qwen2.5-7B-Instruct
#----------------------------------------------------------------------
[2026-07-05T15:37:50] sample_id=000 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=18.5s
[2026-07-05T15:38:00] sample_id=001 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=9.8s
[2026-07-05T15:38:10] sample_id=002 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=10.9s
[2026-07-05T15:38:21] sample_id=003 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=10.8s
[2026-07-05T15:38:37] sample_id=004 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=15.8s
[2026-07-05T15:38:50] sample_id=005 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=13.3s
[2026-07-05T15:38:59] sample_id=006 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=8.3s
[2026-07-05T15:39:13] sample_id=007 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=14.4s
[2026-07-05T15:39:24] sample_id=008 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=11.4s
[2026-07-05T15:39:42] sample_id=009 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=17.8s
[2026-07-05T15:39:58] sample_id=010 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=15.9s
[2026-07-05T15:40:14] sample_id=011 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=16.0s
[2026-07-05T15:40:27] sample_id=012 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=12.8s
[2026-07-05T15:40:45] sample_id=013 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=18.5s
[2026-07-05T15:41:00] sample_id=014 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=14.3s
[2026-07-05T15:41:12] sample_id=015 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=12.4s
[2026-07-05T15:41:25] sample_id=016 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=12.5s
[2026-07-05T15:41:35] sample_id=017 | model=unsloth/Qwen2.5-7B-Instruct | status=OK | cost=$0.00 | duration=10.2s
